field,nonempty,total_rows,coverage_pct,unique_nonempty,predominant_type,avg_len_nonempty,example_value,KEEP_candidate
_version_,10,10,100.0,10,scalar,19.0,1839087430052872192,YES
abstract_s,10,10,100.0,10,list,1130.7,"[""Let $b\\geq 2$ be an integer and $\\hv$ a real number. Among other results, we compute the Hausdorff dimension of the set of real numbers $\\xi$ with the property that, for every sufficiently large integer $N$, there exists an integer $n$ such that $1 \\le n \\le N$ and the distance between $b^n \\xi$ and its nearest integer is at most equal to $b^{-\\hv N}$. We further solve the same question when replacing $b^n\\xi$ by $T^n_\\beta \\xi$, where $T_\\beta$ denotes the classical $\\beta$-transformation.""]",YES
arxivId_s,10,10,100.0,2,scalar,3.6,1404.1889,YES
audience_s,10,10,100.0,2,scalar,1.0,2,YES
authAlphaLastNameFirstNameIdHal_fs,10,10,100.0,10,list,399.2,"[""B_AlphaSep_Bugeaud Yann_FacetSep_yann-bugeaud"", ""L_AlphaSep_Liao Lingmin_FacetSep_""]",YES
authAlphaLastNameFirstNameId_fs,10,10,100.0,10,list,392.9,"[""B_AlphaSep_Bugeaud Yann_FacetSep_748461"", ""L_AlphaSep_Liao Lingmin_FacetSep_888942""]",YES
authArxivIdExt_s,10,10,100.0,3,scalar,5.9,,YES
authEmailDomain_s,10,10,100.0,10,list,45.8,"[""math.unistra.fr"", ""u-picardie.fr""]",YES
authFirstName_s,10,10,100.0,10,list,69.7,"[""Yann"", ""Lingmin""]",YES
authFullNameFormIDPersonIDIDHal_fs,10,10,100.0,10,list,482.8,"[""Yann Bugeaud_FacetSep_18010-748461_FacetSep_yann-bugeaud"", ""Lingmin Liao_FacetSep_301903-888942_FacetSep_""]",YES
authFullNameIdFormPerson_fs,10,10,100.0,10,list,350.0,"[""Yann Bugeaud_FacetSep_18010-748461"", ""Lingmin Liao_FacetSep_301903-888942""]",YES
authFullNameIdHal_fs,10,10,100.0,10,list,287.0,"[""Yann Bugeaud_FacetSep_yann-bugeaud"", ""Lingmin Liao_FacetSep_""]",YES
authFullNameId_fs,10,10,100.0,10,list,280.7,"[""Yann Bugeaud_FacetSep_748461"", ""Lingmin Liao_FacetSep_888942""]",YES
authFullNamePersonIDIDHal_fs,10,10,100.0,10,list,416.2,"[""Yann Bugeaud_FacetSep_748461_FacetSep_yann-bugeaud"", ""Lingmin Liao_FacetSep_888942_FacetSep_""]",YES
authFullName_s,10,10,100.0,10,list,151.5,"[""Yann Bugeaud"", ""Lingmin Liao""]",YES
authGoogle ScholarIdExt_s,10,10,100.0,3,scalar,15.6,,YES
authIDHALIdExt_s,10,10,100.0,10,list,33.5,"[""yann-bugeaud""]",YES
authISNIIdExt_s,10,10,100.0,4,scalar,6.9,,YES
authIdFormPerson_s,10,10,100.0,10,list,114.9,"[""18010-748461"", ""301903-888942""]",YES
authIdForm_i,10,10,100.0,10,list,77.5,"[18010, 301903]",YES
authIdFullName_fs,10,10,100.0,10,list,280.7,"[""748461_FacetSep_Yann Bugeaud"", ""888942_FacetSep_Lingmin Liao""]",YES
authIdHalFullName_fs,10,10,100.0,10,list,287.0,"[""yann-bugeaud_FacetSep_Yann Bugeaud"", ""_FacetSep_Lingmin Liao""]",YES
authIdHal_i,10,10,100.0,10,list,26.1,"[748461, 888942]",YES
authIdHal_s,10,10,100.0,10,list,33.5,"[""yann-bugeaud""]",YES
authIdHasPrimaryStructure_fs,10,10,100.0,10,list,750.3,"[""18010-748461_FacetSep_Yann Bugeaud_JoinSep_93707_FacetSep_Institut de Recherche Mathématique Avancée"", ""301903-888942_FacetSep_Lingmin Liao_JoinSep_29_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées""]",YES
authIdHasStructure_fs,10,10,100.0,10,list,3205.6,"[""18010-748461_FacetSep_Yann Bugeaud_JoinSep_93707_FacetSep_Institut de Recherche Mathématique Avancée"", ""18010-748461_FacetSep_Yann Bugeaud_JoinSep_199013_FacetSep_Université de Strasbourg"", ""18010-748461_FacetSep_Yann Bugeaud_JoinSep_441569_FacetSep_Centre National de la Recherche Scientifique"", ""301903-888942_FacetSep_Lingmin Liao_JoinSep_29_FacetSep_Laboratoire d'Analyse et de Mathématiques Appliquées"", ""301903-888942_FacetSep_Lingmin Liao_JoinSep_301243_FacetSep_Université Paris-Est Marne-la-Vallée"", ""301903-888942_FacetSep_Lingmin Liao_JoinSep_302085_FacetSep_Fédération de Recherche Bézout"", ""301903-888942_FacetSep_Lingmin Liao_JoinSep_441569_FacetSep_Centre National de la Recherche Scientifique"", ""301903-888942_FacetSep_Lingmin Liao_JoinSep_420786_FacetSep_Université Paris-Est Créteil Val-de-Marne - Paris 12"", ""301903-888942_FacetSep_Lingmin Liao_JoinSep_441569_FacetSep_Centre National de la Recherche Scientifique""]",YES
authIdLastNameFirstName_fs,10,10,100.0,10,list,280.7,"[""748461_FacetSep_Bugeaud Yann"", ""888942_FacetSep_Liao Lingmin""]",YES
authIdPerson_i,10,10,100.0,10,list,45.6,"[748461, 888942]",YES
authIdRefIdExt_s,10,10,100.0,9,list,24.3,,YES
authLastNameFirstNameIdHalPersonid_fs,10,10,100.0,10,list,416.2,"[""Bugeaud Yann_FacetSep_yann-bugeaud_FacetSep_748461"", ""Liao Lingmin_FacetSep__FacetSep_888942""]",YES
authLastNameFirstName_s,10,10,100.0,10,list,151.5,"[""Bugeaud Yann"", ""Liao Lingmin""]",YES
authLastName_s,10,10,100.0,10,list,90.0,"[""Bugeaud"", ""Liao""]",YES
authORCIDIdExt_s,10,10,100.0,10,list,63.1,"[""0000-0002-8621-5699"", ""0000-0001-8763-1582""]",YES
authOrganismId_i,10,10,100.0,2,scalar,3.3,,YES
authOrganism_s,10,10,100.0,2,scalar,7.1,,YES
authQuality_s,10,10,100.0,9,list,49.0,"[""aut"", ""aut""]",YES
authResearcherIdIdExt_s,10,10,100.0,4,scalar,16.7,,YES
authStructId_i,10,10,100.0,2,scalar,3.3,,YES
authVIAFIdExt_s,10,10,100.0,5,scalar,5.3,,YES
bibcodeId_s,10,10,100.0,2,scalar,4.6,,YES
bookTitle_s,10,10,100.0,4,scalar,26.3,,YES
citationFull_s,10,10,100.0,10,scalar,410.3,"Yann Bugeaud, Lingmin Liao. Uniform Diophantine approximation related to $b$-ary and $\beta$-expansions. <i>Ergodic Theory and Dynamical Systems</i>, 2016, 36 (1), pp.1--22. <a target=""_blank"" href=""https://dx.doi.org/10.1017/etds.2014.66"">&#x27E8;10.1017/etds.2014.66&#x27E9;</a>. <a target=""_blank"" href=""https://hal.science/hal-00975111v3"">&#x27E8;hal-00975111v3&#x27E9;</a>",YES
citationRef_s,10,10,100.0,10,scalar,167.7,"<i>Ergodic Theory and Dynamical Systems</i>, 2016, 36 (1), pp.1--22. <a target=""_blank"" href=""https://dx.doi.org/10.1017/etds.2014.66"">&#x27E8;10.1017/etds.2014.66&#x27E9;</a>",YES
city_s,10,10,100.0,5,scalar,4.8,,YES
classification_s,10,10,100.0,2,scalar,5.3,"[""37B10, 11J04, 11A63, 11K55""]",YES
