docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1021415,A simple game generator for creating audio/tactile games,Tactile interface,,,,,none,none,no,0.0,0.0,,
1021415,A simple game generator for creating audio/tactile games,Computer game,Computer Gamer,Q868626,,,context,context,no,88.9,54.3,Q41298,magazine
1021415,A simple game generator for creating audio/tactile games,Game authoring tool,,,,,none,none,no,0.0,0.0,,
1021415,A simple game generator for creating audio/tactile games,Blind,Blind,Q60328,,,context,context,no,100.0,111.0,Q482994,album
1021415,A simple game generator for creating audio/tactile games,Visually disabled,,,,,none,none,no,0.0,0.0,,
1052672,Belief functions in telecommunications and network technologies: an overview,THEORIE DES PROBABILITES,,,,,none,none,no,0.0,0.0,,
1052672,Belief functions in telecommunications and network technologies: an overview,TELECOMMUNICATION,Telecommunication,Q7695840,,,exact_label,exact_label,no,100.0,50.0,Q134556,single
1052672,Belief functions in telecommunications and network technologies: an overview,RESEAU DE TELECOMMUNICATIONS,,,,,none,none,no,0.0,0.0,,
1052672,Belief functions in telecommunications and network technologies: an overview,INCERTITUDE,Incertitude,Q106179101,,,exact_label,exact_label,no,100.0,50.0,Q3331189,"version, edition or translation"
1053257,Belief functions and uncertainty management in networks and telecommunication,TELECOMMUNICATION,Telecommunication,Q7695840,,,exact_label,exact_label,no,100.0,50.0,Q134556,single
1053257,Belief functions and uncertainty management in networks and telecommunication,INCERTITUDE,Incertitude,Q106179101,,,exact_label,exact_label,no,100.0,50.0,Q3331189,"version, edition or translation"
1053257,Belief functions and uncertainty management in networks and telecommunication,RESEAU DE TELECOMMUNICATIONS,,,,,none,none,no,0.0,0.0,,
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Pharmacokinetic,pharmacokinetics,Q323936,119330931,pharmaceutical sciences > natural science > science > outline of academic disciplines,context,context,no,90.3,58.2,Q1047113,field of study
1059165,"Using Pharmacokinetic and Viral Kinetic Modeling To Estimate the Antiviral Effectiveness of Telaprevir, Boceprevir, and Pegylated Interferon during Triple Therapy in Treatment-Experienced Hepatitis C Virus-Infected Cirrhotic Patients.",Pharmacokinetic,pharmacokinetics,Q323936,119330931,pharmacology > drug discovery > pharmacology > drug discovery > pharmacology,context,context,no,90.3,58.2,Q1047113,field of study
