docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1015505,The impact of recent reforms on the institutional governance of French universities,France,France,Q142,152383070,,context,context,no,100.0,113.0,Q20181813;Q3624078;Q51576574;Q6256;Q7270,republic;country;Mediterranean country;sovereign state;colonial power
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,geolocatable entity > concrete object > object > entity,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,geolocatable entity > concrete object > individual item > entity,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > service provider > organization > person or organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > service provider > organization > corporate body,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > service provider > organization > social system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > service provider > organization > complex system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > service provider > organization > group of humans,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > service provider > provider > economic agent,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational organization > organization > person or organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational organization > organization > corporate body,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational organization > organization > social system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational organization > organization > complex system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational organization > organization > group of humans,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational institution > institution > social structure,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational institution > institution > person or organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,higher education institution > educational institution > educational institution > institution > organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > service provider > organization > person or organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > service provider > organization > corporate body,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > service provider > organization > social system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > service provider > organization > complex system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > service provider > organization > group of humans,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > service provider > provider > economic agent,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational organization > organization > person or organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational organization > organization > corporate body,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational organization > organization > social system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational organization > organization > complex system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational organization > organization > group of humans,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational institution > institution > social structure,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational institution > institution > person or organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > educational institution > educational institution > institution > organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > research institute > research organization > organization > person or organization,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > research institute > research organization > organization > corporate body,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > research institute > research organization > organization > social system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > research institute > research organization > organization > complex system,context,context,no,90.0,108.0,Q112872396,type of educational institution
1015505,The impact of recent reforms on the institutional governance of French universities,University,university,Q3918,11933731d,academic institution > research institute > research organization > organization > group of humans,context,context,no,90.0,108.0,Q112872396,type of educational institution
