docid,title,keyword,wikidata_label,wikidata_qid,bnf_id,p279_path,retry_source,match_stage,is_disambiguation,label_similarity,match_score,p31_types,p31_label
1023779,Symposium on Circulation of Security Models in Southern African Cities,Security governance,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Neoliberalization,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Circulation of models,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > occurrence > occurrent > entity > entity,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > activity > process > occurrent > entity,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > activity > process > sequence > function,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > activity > process > sequence > class,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,disruption > stimulus > change > occurrent > entity,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > appliance > physical tool > equipment,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > appliance > physical tool > artificial physical object,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > appliance > physical tool > tool,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > geographical feature > geographic entity,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > geographical feature > concrete object,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > geographical feature > physical location,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > artificial physical object > physical object,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > artificial physical object > artificial object,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > fixed construction > artificial physical object > work,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > obstacle > physical object > material entity,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Road closures,road closure,Q110997968,,roadblock > barricade > obstacle > physical object > concrete object,exact_label,exact_label,no,100.0,50.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Gated residential development,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,City Improvement District,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Southern Africa,Southern Africa,Q27394,162726316,,context,context,no,100.0,143.0,Q3502482;Q82794,region;cultural region
1023779,Symposium on Circulation of Security Models in Southern African Cities,Johannesburg,Johannesburg,Q14714490,,,context,context,no,100.0,115.0,Q17343829,unincorporated community in the United States
1023779,Symposium on Circulation of Security Models in Southern African Cities,Cape Town,Cape Town,Q5465,119432557,,context,context,no,100.0,116.0,Q105742469;Q108178728;Q15042037;Q1549591;Q2264924,legislative capital;port city;national capital;statistical territorial entity;big city
1023779,Symposium on Circulation of Security Models in Southern African Cities,Windhoek,Windhoek,Q32042422,,,context,context,no,100.0,115.0,Q2042028,ravine
1023779,Symposium on Circulation of Security Models in Southern African Cities,Maputo,Maputo,Q3889,,,context,context,no,100.0,113.0,Q1549591;Q2264924;Q515;Q56036687,big city;municipality of Mozambique;port city;city
1023779,Symposium on Circulation of Security Models in Southern African Cities,Néoliberalisation,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Transfert de politiques,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Sécurité,sécurité,Q1470670,,,context,context,no,87.5,103.5,Q2355426,distress signal
1023779,Symposium on Circulation of Security Models in Southern African Cities,Mobilité des politiques urbaines,,,,,none,none,no,0.0,0.0,,
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,redevelopment > construction > economic activity > intentional human activity > human activity,context,context,no,71.4,46.9,Q1441983,redevelopment
1023779,Symposium on Circulation of Security Models in Southern African Cities,Renouvellement urbain,urban renewal,Q920600,131626960,redevelopment > construction > economic activity > transfer > change,context,context,no,71.4,46.9,Q1441983,redevelopment
